feature,orig_norm,cf_norm,abs_delta_norm,pct_of_range,orig_denorm,cf_denorm,abs_delta_denorm,pct_of_range_denorm
bedrooms,0.09090909,0.29670715,0.20579806,20.579805,3.0,9.791336,6.791336,20.579806241121535
bathrooms,0.3125,0.53006744,0.21756744,21.756744,2.5,4.2405396,1.7405396,21.756744384762904
sqft_living,0.1904762,0.043243483,0.14723271,14.723271,2530.0,798.54333,1731.4567,14.723270961216517
sqft_lot,0.53531986,0.48049092,0.05482894,5.482894,623779.0,559943.06,63835.938,5.482896423006956
floors,0.0,0.0039822017,0.0039822017,0.39822018,1.0,1.0099555,0.009955525,0.3982210159300165
waterfront,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
view,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
condition,0.75,0.5,0.25,25.0,4.0,3.0,1.0,24.99999999999375
grade,0.5833333,0.5833333,0.0,0.0,7.9999995,7.9999995,0.0,0.0
sqft_above,0.2613769,-0.14381507,0.40519196,40.519196,2530.0,-942.4952,3472.495,40.51919623322636
sqft_basement,0.0,0.084555976,0.084555976,8.455598,0.0,407.5598,407.5598,8.455597810230806
yr_built,0.6956522,0.6956522,0.0,0.0,1980.0001,1980.0001,0.0,0.0
yr_renovated,0.0,0.0002926181,0.0002926181,0.029261809,0.0,0.5896255,0.5896255,0.029261810312200116
lat,0.41969916,0.41969916,0.0,0.0,47.4188,47.4188,0.0,0.0
long,0.47342193,0.47342193,0.0,0.0,-121.949,-121.949,0.0,0.0
sqft_living15,0.29616246,0.23389976,0.0622627,6.2262697,2120.0,1758.1914,361.8086,6.226270758045086
sqft_lot15,0.11483788,0.13554895,0.020711072,2.0711071,100623.0,118653.0,18030.0,2.0711068532615626
