feature,orig_norm,cf_norm,abs_delta_norm,pct_of_range,orig_denorm,cf_denorm,abs_delta_denorm,pct_of_range_denorm
bedrooms,0.15151516,0.16759342,0.016078264,1.6078264,5.0,5.530583,0.5305829,1.6078269842898718
bathrooms,0.4375,0.46953395,0.03203395,3.203395,3.5,3.7562716,0.2562716,3.203395009040432
sqft_living,0.24404761,0.18611339,0.057934225,5.7934227,3160.0,2478.6934,681.30664,5.793423814838435
sqft_lot,0.0039982,-0.12857845,0.13257666,13.257666,5175.0,-149180.55,154355.55,13.257665023439499
floors,0.4,0.39904663,0.0009533763,0.09533763,2.0,1.9976165,0.0023834705,0.09533882141109468
waterfront,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
view,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
condition,0.5,0.5,0.0,0.0,3.0,3.0,0.0,0.0
grade,0.6666667,0.5833333,0.08333337,8.333338,9.0,7.9999995,1.0000005,8.333337306975624
sqft_above,0.33488914,0.2788468,0.056042343,5.604234,3160.0,2679.7173,480.2827,5.604232378573512
sqft_basement,0.0,-0.032760236,0.032760236,3.2760236,0.0,-157.90434,157.90434,3.2760237064599
yr_built,0.99130434,0.99130434,0.0,0.0,2014.0001,2014.0001,0.0,0.0
yr_renovated,0.0,0.00019041203,0.00019041203,0.019041203,0.0,0.38368022,0.38368022,0.019041202204399005
lat,0.96344817,0.96344817,0.0,0.0,47.755,47.755,0.0,0.0
long,0.25166112,0.25166112,0.0,0.0,-122.216,-122.216,0.0,0.0
sqft_living15,0.2927207,0.297238,0.004517287,0.4517287,2100.0,2126.25,26.25,0.4517294785751161
sqft_lot15,0.009993694,-0.037620205,0.0476139,4.76139,9351.0,-32099.232,41450.234,4.761390154373849
