feature,orig_norm,cf_norm,abs_delta_norm,pct_of_range,orig_denorm,cf_denorm,abs_delta_denorm,pct_of_range_denorm
bedrooms,0.15151516,-0.41202065,0.5635358,56.35358,5.0,-13.596682,18.596682,56.35358059044869
bathrooms,0.1875,0.6768603,0.48936027,48.936028,1.5,5.414882,3.9148822,48.93602728843077
sqft_living,0.14455782,0.8672595,0.72270167,72.270164,1989.9999,10488.972,8498.972,72.27016734428146
sqft_lot,0.015185429,1.4026439,1.3874584,138.74585,18200.0,1633581.9,1615381.9,138.74585149200274
floors,0.0,-0.025260687,0.025260687,2.5260687,1.0,0.9368483,0.06315172,2.526068687437954
waterfront,0.0,0.68949497,0.68949497,68.94949,0.0,0.68949497,0.68949497,68.94949674599428
view,0.0,0.17634244,0.17634244,17.634245,0.0,0.7053698,0.7053698,17.63424426316774
condition,0.5,0.61963665,0.119636655,11.963665,3.0,3.4785466,0.47854662,11.963665485379089
grade,0.5,1.0991704,0.59917045,59.917046,7.0,14.190046,7.1900463,59.91705258686838
sqft_above,0.19836639,0.5941881,0.3958217,39.58217,1990.0,5382.192,3392.192,39.582169131053085
sqft_basement,0.0,0.111103304,0.111103304,11.110331,0.0,535.51794,535.51794,11.110330795351398
yr_built,0.5217391,0.6565419,0.13480276,13.480276,1960.0,1975.5024,15.502441,13.480383831521623
yr_renovated,0.0,0.09722862,0.09722862,9.722861,0.0,195.91566,195.91566,9.722861770364839
lat,0.54099953,0.5813568,0.04035729,4.0357294,47.4938,47.518757,0.02495575,4.036187855681462
long,0.21345516,0.19399182,0.01946333,1.946333,-122.26199,-122.28543,0.0234375,1.9466362126229553
sqft_living15,0.25141972,0.43212625,0.18070653,18.070654,1860.0,2910.0854,1050.0854,18.070649616567714
sqft_lot15,0.009197644,0.0012086192,0.007989025,0.79890245,8657.999,1703.1624,6954.837,0.7989024068791647
