feature,orig_norm,cf_norm,abs_delta_norm,pct_of_range,orig_denorm,cf_denorm,abs_delta_denorm,pct_of_range_denorm
bedrooms,0.060606062,-0.58889073,0.6494968,64.94968,2.0,-19.433393,21.433393,64.94967720725123
bathrooms,0.125,0.46862108,0.34362108,34.362106,1.0,3.7489686,2.7489686,34.362107515330784
sqft_living,0.048469387,0.5581058,0.50963646,50.963646,860.0,6853.3247,5993.3247,50.9636454679528
sqft_lot,0.0048098643,1.3386441,1.3338343,133.38342,6120.0,1559068.6,1552948.6,133.3834325081553
floors,0.0,-0.01937288,0.01937288,1.937288,1.0,0.9515678,0.04843217,1.937286853789508
waterfront,0.0,0.55539024,0.55539024,55.539024,0.0,0.55539024,0.55539024,55.53902387613464
view,0.0,0.20073691,0.20073691,20.07369,0.0,0.80294764,0.80294764,20.073691010470142
condition,0.5,0.5629573,0.06295729,6.2957287,3.0,3.2518291,0.25182915,6.295728683470106
grade,0.5,1.0747838,0.5747838,57.47838,7.0,13.897406,6.8974056,57.47838020324229
sqft_above,0.06651109,0.6239659,0.5574548,55.745483,860.0,5637.388,4777.388,55.74548638965868
sqft_basement,0.0,-0.042355582,0.042355582,4.235558,0.0,-204.1539,204.1539,4.235558094325401
yr_built,0.4173913,0.5459553,0.128564,12.8564,1948.0,1962.7848,14.78479,12.856339164402062
yr_renovated,0.0,0.11548707,0.11548707,11.548707,0.0,232.70645,232.70645,11.5487072663035
lat,0.95584667,0.8133172,0.14252949,14.252949,47.7503,47.662174,0.088127136,14.25313540843062
long,0.15863787,0.124906495,0.03373137,3.373137,-122.327995,-122.368614,0.040618896,3.3736624986994186
sqft_living15,0.12063328,0.4263082,0.30567494,30.567493,1100.0,2876.277,1776.2771,30.56749440043667
sqft_lot15,0.007132281,0.16165683,0.15452455,15.452455,6860.0005,141381.19,134521.19,15.452454428182675
