feature,orig_norm,cf_norm,abs_delta_norm,pct_of_range,orig_denorm,cf_denorm,abs_delta_denorm,pct_of_range_denorm
bedrooms,0.25,0.25,0.0,0.0,2.0,2.0,0.0,0.0
bathrooms,0.125,0.25,0.125,12.5,1.0,2.0,1.0,12.499999999998437
sqft_living,0.048469387,0.104967,0.05649761,5.649761,860.0,1524.4119,664.41187,5.649760758795705
sqft_lot,0.0048098643,0.2509126,0.24610274,24.610273,6120.0,292651.0,286531.0,24.610272152431474
floors,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
waterfront,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
view,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
condition,0.5,0.5,0.0,0.0,3.0,3.0,0.0,0.0
grade,0.5,0.9166667,0.4166667,41.666668,7.0,12.0,5.0,41.6666666666632
sqft_above,0.06651109,0.08095675,0.0144456625,1.4445662,860.0,983.7993,123.79932,1.444566119092765
sqft_basement,0.0,0.002827199,0.002827199,0.28271988,0.0,13.627099,13.627099,0.28271989703673045
yr_built,0.4173913,0.4173913,0.0,0.0,1948.0,1948.0,0.0,0.0
yr_renovated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lat,0.95584667,0.95584667,0.0,0.0,47.7503,47.7503,0.0,0.0
long,0.15863787,0.15863787,0.0,0.0,-122.327995,-122.327995,0.0,0.0
sqft_living15,0.12063328,0.13541532,0.014782034,1.4782034,1100.0,1185.8984,85.89844,1.4782040526587503
sqft_lot15,0.007132281,0.017571844,0.010439564,1.0439564,6860.0005,15948.151,9088.15,1.0439562150579693
