feature,orig_norm,cf_norm,abs_delta_norm,pct_of_range,orig_denorm,cf_denorm,abs_delta_denorm,pct_of_range_denorm
bedrooms,0.121212125,0.13941133,0.018199205,1.8199205,4.0,4.600574,0.600574,1.8199212623364447
bathrooms,0.21875,0.35963404,0.14088404,14.088404,1.75,2.8770723,1.1270723,14.088404178617623
sqft_living,0.16071428,0.20473754,0.04402326,4.402326,2180.0,2697.7134,517.7134,4.402324650563349
sqft_lot,0.006046687,0.038072478,0.03202579,3.2025793,7560.0,44846.793,37286.793,3.2025788576185676
floors,0.0,0.0012247711,0.0012247711,0.122477114,1.0,1.0030619,0.0030618906,0.12247562408442367
waterfront,0.0,0.0027813772,0.0027813772,0.2781377,0.0,0.0027813772,0.0027813772,0.2781377173957427
view,0.0,-0.011869734,0.011869734,1.1869735,0.0,-0.047478937,0.047478937,1.1869734153148543
condition,0.75,0.83935565,0.08935565,8.935565,4.0,4.357423,0.35742283,8.935570716855675
grade,0.5,0.5727726,0.07277262,7.277262,7.0,7.873271,0.873271,7.277258237202355
sqft_above,0.14819136,0.18283996,0.034648597,3.4648597,1560.0,1856.9385,296.93848,3.4648597031796955
sqft_basement,0.12863071,0.26770347,0.13907276,13.907276,620.00006,1290.3307,670.3306,13.90727442824494
yr_built,0.53913045,0.6574713,0.11834085,11.834085,1962.0,1975.6093,13.609253,11.834132982336854
yr_renovated,0.0,0.0006869398,0.0006869398,0.06869398,0.0,1.3841838,1.3841838,0.06869398334777677
lat,0.96668285,0.96668285,0.0,0.0,47.757,47.757,0.0,0.0
long,0.15199335,0.15199335,0.0,0.0,-122.336,-122.336,0.0,0.0
sqft_living15,0.24281535,0.2693465,0.02653116,2.653116,1810.0,1964.1726,154.1726,2.653116630904749
sqft_lot15,0.0076974416,0.18462135,0.1769239,17.69239,7352.0,161372.92,154020.92,17.692389730503393
