feature,orig_norm,cf_norm,abs_delta_norm,pct_of_range,orig_denorm,cf_denorm,abs_delta_denorm,pct_of_range_denorm
bedrooms,0.09090909,-0.3421191,0.4330282,43.30282,3.0,-11.28993,14.28993,43.30281922311362
bathrooms,0.4375,0.9294961,0.4919961,49.19961,3.5,7.435969,3.9359689,49.19961094855647
sqft_living,0.1207483,0.8489619,0.7282136,72.82136,1709.9999,10273.792,8563.792,72.82136047778486
sqft_lot,0.0014532661,1.4382583,1.436805,143.6805,2212.0,1675046.8,1672834.8,143.68050390200244
floors,0.4,0.40510863,0.0051086247,0.51086247,2.0,2.0127716,0.012771606,0.5108642578122957
waterfront,0.0,0.727647,0.727647,72.7647,0.0,0.727647,0.727647,72.76470065109605
view,0.0,0.12146679,0.12146679,12.146679,0.0,0.48586717,0.48586717,12.146679311987702
condition,0.5,0.53414243,0.034142435,3.4142435,3.0,3.1365697,0.13656974,3.4142434597006845
grade,0.5,1.0015018,0.5015018,50.15018,7.0,13.018023,6.0180225,50.15018781025786
sqft_above,0.1295216,0.2477079,0.11818631,11.818631,1400.0,2412.857,1012.85693,11.818633997593347
sqft_basement,0.06431536,0.3560156,0.29170024,29.170025,310.00003,1715.9951,1405.9951,29.170023178163895
yr_built,0.9826087,0.97487444,0.007734239,0.7734239,2013.0001,2012.1107,0.8894043,0.7733950407608629
yr_renovated,0.0,0.05791375,0.05791375,5.791375,0.0,116.696205,116.696205,5.791374944871469
lat,0.6252628,0.7553245,0.13006169,13.006168,47.5459,47.62632,0.08042145,13.00686523593344
long,0.12541528,0.13362439,0.008209109,0.82091093,-122.368004,-122.358116,0.009887695,0.8212371522003094
sqft_living15,0.20323524,0.29559097,0.09235573,9.235573,1580.0,2116.6792,536.6792,9.235573898102736
sqft_lot15,0.0017931213,0.12742102,0.1256279,12.562791,2212.0,111577.24,109365.24,12.562789939164826
