feature,orig_norm,cf_norm,abs_delta_norm,pct_of_range,orig_denorm,cf_denorm,abs_delta_denorm,pct_of_range_denorm
bedrooms,0.121212125,-0.40913302,0.53034514,53.034515,4.0,-13.5013895,17.501389,53.034510756982286
bathrooms,0.21875,0.4156292,0.19687921,19.687922,1.75,3.3250337,1.5750337,19.687920808789652
sqft_living,0.13690476,0.41953117,0.2826264,28.262638,1899.9999,5223.6865,3323.6865,28.262640505420915
sqft_lot,0.0066393306,1.3996583,1.393019,139.3019,8250.0,1630105.9,1621855.9,139.30190616641787
floors,0.0,-0.0755747,0.0755747,7.5574703,1.0,0.8110633,0.18893671,7.557468414303617
waterfront,0.0,0.57911015,0.57911015,57.911015,0.0,0.57911015,0.57911015,57.91101455682684
view,0.0,0.2340939,0.2340939,23.40939,0.0,0.9363756,0.9363756,23.40939044951807
condition,0.75,1.0293257,0.27932572,27.932571,4.0,5.117303,1.1173029,27.932572364800144
grade,0.5,1.0013869,0.5013869,50.138687,7.0,13.016644,6.0166435,50.138696034745166
sqft_above,0.07701284,0.71582574,0.6388129,63.88129,950.0,6424.6265,5474.6265,63.881288971338954
sqft_basement,0.19709544,0.12320595,0.07388949,7.3889484,950.0,593.85266,356.14734,7.3889489391532654
yr_built,0.47826087,0.67240995,0.19414908,19.414907,1955.0,1977.3271,22.327148,19.41491168478244
yr_renovated,0.0,0.25409496,0.25409496,25.409496,0.0,512.00134,512.00134,25.409495919277287
lat,0.67475337,0.57220906,0.10254431,10.254431,47.5765,47.5131,0.06340027,10.253965478664917
long,0.3089701,0.28132114,0.027648956,2.7648954,-122.147,-122.18029,0.03328705,2.7647050116126155
sqft_living15,0.1860265,0.30197835,0.11595185,11.595185,1479.9999,2153.7961,673.79626,11.595186106495223
sqft_lot15,0.008855332,0.062042892,0.05318756,5.318756,8360.0,54662.38,46302.38,5.318756199392567
