feature,orig_norm,cf_norm,abs_delta_norm,pct_of_range,orig_denorm,cf_denorm,abs_delta_denorm,pct_of_range_denorm
bedrooms,0.09090909,0.09885301,0.007943913,0.79439133,3.0,3.2621493,0.26214933,0.7943919210722711
bathrooms,0.125,-0.42042637,0.54542637,54.542637,1.0,-3.363411,4.363411,54.54263687133108
sqft_living,0.046768706,0.22446851,0.1776998,17.769981,839.99994,2929.7498,2089.7498,17.769980917171555
sqft_lot,0.005136248,0.08829594,0.083159685,8.3159685,6500.0,103320.664,96820.664,8.315968926773252
floors,0.0,-0.011408903,0.011408903,1.1408902,1.0,0.97147775,0.028522253,1.1408901214595046
waterfront,0.0,0.057425443,0.057425443,5.742544,0.0,0.057425443,0.057425443,5.742544308299044
view,0.0,0.114540145,0.114540145,11.454015,0.0,0.45816058,0.45816058,11.45401448011112
condition,1.0,0.8726827,0.12731731,12.731731,5.0,4.490731,0.50926924,12.73173093795458
grade,0.41666666,0.35054588,0.06612077,6.612077,6.0,5.2065506,0.7934494,6.6120783487950225
sqft_above,0.064177364,0.15648726,0.09230989,9.230989,840.0,1631.0958,791.0958,9.230989792244019
sqft_basement,0.0,0.18210009,0.18210009,18.210009,0.0,877.7224,877.7224,18.21000854998703
yr_built,0.6,0.43589267,0.16410735,16.410736,1968.9999,1950.1277,18.872192,16.410602072010725
yr_renovated,0.0,-0.19478405,0.19478405,19.478405,0.0,-392.48984,392.48984,19.478403853423533
lat,0.33058387,0.35146803,0.020884156,2.0884156,47.3637,47.376614,0.01291275,2.088427987080671
long,0.36212623,0.43870586,0.07657963,7.657963,-122.083,-121.9908,0.09220123,7.6579097101394575
sqft_living15,0.089657545,0.37262633,0.2829688,28.296879,920.0,2564.3315,1644.3315,28.296877352757697
sqft_lot15,0.004628114,0.10246888,0.09784076,9.784077,4680.0,89855.18,85175.18,9.78407644917173
