feature,orig_norm,cf_norm,abs_delta_norm,pct_of_range,orig_denorm,cf_denorm,abs_delta_denorm,pct_of_range_denorm
bedrooms,0.121212125,0.9934313,0.8722192,87.221924,4.0,32.783234,28.783234,87.22192012902197
bathrooms,0.125,-0.019505098,0.1445051,14.45051,1.0,-0.15604079,1.1560408,14.450509846208673
sqft_living,0.07908163,0.3617209,0.28263927,28.263927,1220.0,4543.838,3323.838,28.26392764136904
sqft_lot,0.009628317,1.076147,1.0665187,106.65186,11730.0,1253450.0,1241720.0,106.6518706077779
floors,0.0,0.1661588,0.1661588,16.61588,1.0,1.4153969,0.41539693,16.61587715148261
waterfront,0.0,0.2969122,0.2969122,29.69122,0.0,0.2969122,0.2969122,29.69121932980429
view,0.0,-0.057767928,0.057767928,5.7767925,0.0,-0.23107171,0.23107171,5.776792764662252
condition,0.75,0.9686688,0.21866882,21.866882,4.0,4.8746753,0.8746753,21.866881847376124
grade,0.5,0.6786848,0.17868477,17.868477,7.0,9.144217,2.1442165,17.86847114562839
sqft_above,0.10851809,0.37382296,0.26530486,26.530487,1220.0,3493.6628,2273.6628,26.53048823566948
sqft_basement,0.0,0.6530025,0.6530025,65.30025,0.0,3147.4722,3147.4722,65.30025244748443
yr_built,0.5217391,0.5553124,0.03357327,3.357327,1960.0,1963.8608,3.8608398,3.357252038043449
yr_renovated,0.0,-0.073701024,0.073701024,7.3701024,0.0,-148.50757,148.50757,7.370102648107937
lat,0.26459646,0.21474245,0.04985401,4.985401,47.3229,47.292076,0.030822754,4.98508068998872
long,0.19601329,0.3180763,0.122063026,12.206303,-122.283005,-122.13603,0.14697266,12.207031249989782
sqft_living15,0.14988814,0.3156842,0.16579606,16.579605,1270.0,2233.441,963.4409,16.579606229026844
sqft_lot15,0.010187824,0.17676044,0.16657262,16.65726,9520.0,154529.61,145009.61,16.65725988715167
