feature,orig_norm,cf_norm,abs_delta_norm,pct_of_range,orig_denorm,cf_denorm,abs_delta_denorm,pct_of_range_denorm
bedrooms,0.09090909,0.26830098,0.17739189,17.73919,3.0,8.853932,5.8539324,17.739189032351792
bathrooms,0.125,0.09497157,0.030028433,3.0028434,1.0,0.75977254,0.24022746,3.0028432607647004
sqft_living,0.046768706,0.2936963,0.2469276,24.69276,839.99994,3743.8687,2903.8687,24.692760649181544
sqft_lot,0.005136248,0.08016535,0.0750291,7.5029097,6500.0,93854.44,87354.44,7.502910612106772
floors,0.0,-0.0021954142,0.0021954142,0.21954142,1.0,0.9945115,0.005488515,0.219540596008213
waterfront,0.0,-0.0028967815,0.0028967815,0.28967816,0.0,-0.0028967815,0.0028967815,0.28967815451295015
view,0.0,0.0067939395,0.0067939395,0.67939395,0.0,0.027175758,0.027175758,0.6793939508496016
condition,1.0,1.0234044,0.02340436,2.340436,5.0,5.0936174,0.09361744,2.340435981749903
grade,0.41666666,0.54632694,0.12966028,12.966028,6.0,7.555923,1.555923,12.96602487563979
sqft_above,0.064177364,0.26973724,0.20555988,20.555988,840.0,2601.6482,1761.6482,20.55598825390169
sqft_basement,0.0,0.31992495,0.31992495,31.992495,0.0,1542.0382,1542.0382,31.992493942070794
yr_built,0.6,0.64463776,0.04463774,4.4637737,1968.9999,1974.1333,5.133423,4.463845957880396
yr_renovated,0.0,0.003941886,0.003941886,0.3941886,0.0,7.9429007,7.9429007,0.3941886182458464
lat,0.33058387,0.33058387,0.0,0.0,47.3637,47.3637,0.0,0.0
long,0.36212623,0.36212623,0.0,0.0,-122.083,-122.083,0.0,0.0
sqft_living15,0.089657545,0.28748178,0.19782424,19.782425,920.0,2069.5566,1149.5566,19.782423689984512
sqft_lot15,0.004628114,0.16555934,0.16093123,16.093122,4680.0,144778.52,140098.52,16.09312234291235
