feature,orig_norm,cf_norm,abs_delta_norm,pct_of_range,orig_denorm,cf_denorm,abs_delta_denorm,pct_of_range_denorm
bedrooms,0.5,0.5,0.0,0.0,4.0,4.0,0.0,0.0
bathrooms,0.3125,0.3125,0.0,0.0,2.5,2.5,0.0,0.0
sqft_living,0.16496599,0.11630081,0.04866518,4.866518,2230.0,1657.6974,572.3026,4.8665188121146885
sqft_lot,0.006905591,-0.20436491,0.2112705,21.12705,8560.0,-237416.75,245976.75,21.12704998995082
floors,0.4,0.4,0.0,0.0,2.0,2.0,0.0,0.0
waterfront,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
view,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
condition,0.5,0.5,0.0,0.0,3.0,3.0,0.0,0.0
grade,0.5833333,0.5833333,0.0,0.0,7.9999995,7.9999995,0.0,0.0
sqft_above,0.22637106,0.21012375,0.016247317,1.6247318,2230.0,2090.7605,139.2395,1.624731644727246
sqft_basement,0.0,-0.0209046,0.0209046,2.09046,0.0,-100.76018,100.76018,2.090460116437856
yr_built,0.8869565,0.8869565,0.0,0.0,2002.0,2002.0,0.0,0.0
yr_renovated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lat,0.5311338,0.5311338,0.0,0.0,47.4877,47.4877,0.0,0.0
long,0.31229237,0.31229237,0.0,0.0,-122.143005,-122.143005,0.0,0.0
sqft_living15,0.34434694,0.30540386,0.038943082,3.894308,2400.0,2173.702,226.2981,3.8943055533148336
sqft_lot15,0.008161517,0.030954378,0.02279286,2.2792861,7756.0,27598.305,19842.305,2.2792863684295774
