feature,orig_norm,cf_norm,abs_delta_norm,pct_of_range,orig_denorm,cf_denorm,abs_delta_denorm,pct_of_range_denorm
bedrooms,0.5,0.5,0.0,0.0,4.0,4.0,0.0,0.0
bathrooms,0.3125,0.3125,0.0,0.0,2.5,2.5,0.0,0.0
sqft_living,0.20408164,0.15903601,0.04504563,4.504563,2690.0,2160.2634,529.7366,4.504562689333545
sqft_lot,0.004281638,-0.15044568,0.15472732,15.472733,5505.0,-174640.0,180145.0,15.472732363687586
floors,0.4,0.4,0.0,0.0,2.0,2.0,0.0,0.0
waterfront,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
view,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
condition,0.5,0.5,0.0,0.0,3.0,3.0,0.0,0.0
grade,0.5833333,0.5833333,0.0,0.0,7.9999995,7.9999995,0.0,0.0
sqft_above,0.28004667,0.25367022,0.026376456,2.6376457,2690.0,2463.9539,226.04614,2.637644604178821
sqft_basement,0.0,0.004186302,0.004186302,0.41863018,0.0,20.177975,20.177975,0.4186301805171729
yr_built,0.90434784,0.90434784,0.0,0.0,2004.0,2004.0,0.0,0.0
yr_renovated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lat,0.33527413,0.33527413,0.0,0.0,47.3666,47.3666,0.0,0.0
long,0.33222592,0.33222592,0.0,0.0,-122.119,-122.119,0.0,0.0
sqft_living15,0.39425227,0.37279058,0.021461695,2.1461697,2690.0,2565.2861,124.71387,2.1461687693598344
sqft_lot15,0.005575792,0.03013182,0.02455603,2.455603,5505.0,26882.227,21377.227,2.455602908337153
