feature,orig_norm,cf_norm,abs_delta_norm,pct_of_range,orig_denorm,cf_denorm,abs_delta_denorm,pct_of_range_denorm
bedrooms,0.125,0.5,0.375,37.5,1.0,4.0,3.0,37.49999999999532
bathrooms,0.125,0.25,0.125,12.5,1.0,2.0,1.0,12.499999999998437
sqft_living,0.036564626,-0.041178197,0.07774282,7.7742825,720.0,-194.25558,914.2556,7.7742824424691745
sqft_lot,0.0039337818,-0.21256065,0.21649444,21.649445,5099.9995,-246958.84,252058.84,21.64944366618167
floors,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
waterfront,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
view,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
condition,0.5,0.5,0.0,0.0,3.0,3.0,0.0,0.0
grade,0.41666666,0.41666666,0.0,0.0,6.0,6.0,0.0,0.0
sqft_above,0.05017503,-0.02043384,0.07060887,7.060887,720.00006,114.881996,605.11804,7.0608873044595954
sqft_basement,0.0,-0.022272466,0.022272466,2.2272465,0.0,-107.35329,107.35329,2.2272466129287145
yr_built,0.060869563,0.060869563,0.0,0.0,1907.0,1907.0,0.0,0.0
yr_renovated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lat,0.8455442,0.8455442,0.0,0.0,47.6821,47.6821,0.0,0.0
long,0.115448505,0.115448505,0.0,0.0,-122.38,-122.38,0.0,0.0
sqft_living15,0.15849252,0.12787797,0.030614555,3.0614555,1320.0,1142.0989,177.90112,3.061454535310187
sqft_lot15,0.0051105684,0.028339352,0.023228783,2.3228784,5100.0005,25321.795,20221.795,2.3228784275066654
