feature,orig_norm,cf_norm,abs_delta_norm,pct_of_range,orig_denorm,cf_denorm,abs_delta_denorm,pct_of_range_denorm
bedrooms,0.121212125,0.2055417,0.084329575,8.432958,4.0,6.782876,2.782876,8.43295762033148
bathrooms,0.3125,-0.29729956,0.60979956,60.979958,2.5,-2.3783965,4.8783965,60.97995638846589
sqft_living,0.16496599,-0.2037844,0.3687504,36.87504,2230.0,-2106.5046,4336.505,36.87504152051445
sqft_lot,0.006905591,-0.38242996,0.38933554,38.933556,8560.0,-444733.28,453293.28,38.93355698486782
floors,0.4,0.3550542,0.044945806,4.4945807,2.0,1.8876355,0.11236453,4.494581222532382
waterfront,0.0,-0.21072218,0.21072218,21.072218,0.0,-0.21072218,0.21072218,21.072217822053815
view,0.0,-0.60551214,0.60551214,60.551216,0.0,-2.4220486,2.4220486,60.55121421812451
condition,0.5,-0.30546147,0.80546147,80.54615,3.0,-0.22184587,3.2218459,80.54614663122071
grade,0.5833333,0.055924833,0.5274085,52.74085,7.9999995,1.671098,6.3289013,52.74084409077523
sqft_above,0.22637106,-0.407668,0.63403904,63.403904,2230.0,-3203.7146,5433.715,63.40390716161025
sqft_basement,0.0,-0.10733145,0.10733145,10.733145,0.0,-517.3376,517.3376,10.733144926332336
yr_built,0.8869565,0.4516391,0.43531743,43.531742,2002.0,1951.9386,50.0614,43.53165336277136
yr_renovated,0.0,0.025252432,0.025252432,2.5252433,0.0,50.883648,50.883648,2.5252430728883946
lat,0.5311338,0.45329273,0.07784104,7.7841043,47.4877,47.43957,0.048130035,7.784252854651941
long,0.31229237,0.16013281,0.15215956,15.215956,-122.143005,-122.326195,0.18318939,15.215065788180265
sqft_living15,0.34434694,0.06551021,0.27883673,27.883673,2400.0,779.6799,1620.3201,27.88367008018198
sqft_lot15,0.008161517,-0.04689771,0.055059224,5.5059223,7756.0,-40175.754,47931.754,5.505922573714978
