feature,orig_norm,cf_norm,abs_delta_norm,pct_of_range,orig_denorm,cf_denorm,abs_delta_denorm,pct_of_range_denorm
bedrooms,0.121212125,0.31732273,0.1961106,19.611061,4.0,10.47165,6.47165,19.611060980593926
bathrooms,0.3125,-0.26146632,0.5739663,57.396633,2.5,-2.0917306,4.5917306,57.39663243293045
sqft_living,0.20408164,-0.23319413,0.43727577,43.727577,2690.0,-2452.363,5142.3633,43.72757892219387
sqft_lot,0.004281638,-0.38954312,0.39382476,39.382477,5505.0,-453014.94,458519.94,39.38247676234288
floors,0.4,0.32293057,0.07706943,7.706943,2.0,1.8073263,0.19267368,7.706947326657073
waterfront,0.0,-0.26254642,0.26254642,26.254642,0.0,-0.26254642,0.26254642,26.25464200970885
view,0.0,-0.5910762,0.5910762,59.10762,0.0,-2.3643048,2.3643048,59.107619523987296
condition,0.5,-0.26595837,0.76595837,76.59584,3.0,-0.063833475,3.0638335,76.59583687780372
grade,0.5833333,-0.20530248,0.7886358,78.86358,7.9999995,-1.4636297,9.463629,78.86357307433425
sqft_above,0.28004667,-0.25399444,0.5340411,53.40411,2690.0,-1886.7323,4576.7324,53.404112273920646
sqft_basement,0.0,-0.06450611,0.06450611,6.450611,0.0,-310.91946,310.91946,6.450611288616765
yr_built,0.90434784,0.5434627,0.36088514,36.088516,2004.0,1962.4983,41.50171,36.08844259510838
yr_renovated,0.0,-0.06388228,0.06388228,6.3882275,0.0,-128.7228,128.7228,6.388227969186179
lat,0.33527413,0.3778115,0.04253736,4.253736,47.3666,47.3929,0.026298523,4.2533596877205735
long,0.33222592,0.21680339,0.11542253,11.5422535,-122.119,-122.25797,0.13896942,11.54231074639555
sqft_living15,0.39425227,0.19227141,0.20198086,20.198086,2690.0,1516.2892,1173.7108,20.198086653410556
sqft_lot15,0.005575792,-0.21402949,0.21960528,21.960527,5505.0,-185672.16,191177.16,21.960527925481507
