feature,orig_norm,cf_norm,abs_delta_norm,pct_of_range,orig_denorm,cf_denorm,abs_delta_denorm,pct_of_range_denorm
bedrooms,0.121212125,0.73879963,0.6175875,61.75875,4.0,24.380388,20.380388,61.758752302688116
bathrooms,0.21875,0.2415629,0.022812903,2.2812903,1.75,1.9325032,0.18250322,2.281290292739583
sqft_living,0.16071428,0.13901319,0.021701097,2.1701097,2180.0,1924.795,255.20496,2.1701101705330563
sqft_lot,0.006046687,0.723217,0.7171703,71.71703,7560.0,842542.75,834982.75,71.71703138608265
floors,0.0,-0.09664252,0.09664252,9.664251,1.0,0.7583937,0.2416063,9.664251804347941
waterfront,0.0,0.2523659,0.2523659,25.23659,0.0,0.2523659,0.2523659,25.236588716481716
view,0.0,0.0287342,0.0287342,2.87342,0.0,0.1149368,0.1149368,2.873419970273253
condition,0.75,0.75027114,0.00027114153,0.027114153,4.0,4.0010843,0.0010843277,0.02710819244384088
grade,0.5,0.26625994,0.23374006,23.374006,7.0,4.1951194,2.8048806,23.37400515874032
sqft_above,0.14819136,0.16441241,0.016221046,1.6221046,1560.0,1699.0143,139.01428,1.6221036432504374
sqft_basement,0.12863071,0.6953346,0.5667039,56.67039,620.00006,3351.513,2731.513,56.67039293471212
yr_built,0.53913045,0.50219655,0.0369339,3.69339,1962.0,1957.7526,4.2474365,3.6934230638586643
yr_renovated,0.0,-0.028397247,0.028397247,2.8397248,0.0,-57.22045,57.22045,2.8397246330015107
lat,0.96668285,1.092779,0.12609619,12.609619,47.757,47.83497,0.0779686,12.610156463202904
long,0.15199335,0.0058166683,0.14617668,14.617668,-122.336,-122.51199,0.17599487,14.617514372651803
sqft_living15,0.24281535,0.0035455823,0.23926976,23.926977,1810.0,419.6034,1390.3966,23.926976534939122
sqft_lot15,0.0076974416,0.21311814,0.20542069,20.542068,7352.0,186180.78,178828.78,20.542069573338203
