feature,orig_norm,cf_norm,abs_delta_norm,pct_of_range,orig_denorm,cf_denorm,abs_delta_denorm,pct_of_range_denorm
bedrooms,0.625,0.5,0.125,12.5,5.0,4.0,1.0,12.499999999998437
bathrooms,0.4375,0.3125,0.125,12.5,3.5,2.5,1.0,12.499999999998437
sqft_living,0.24404761,0.196339,0.047708616,4.7708616,3160.0,2598.9465,561.05347,4.770862812898597
sqft_lot,0.0039982,-0.14524993,0.14924814,14.924814,5175.0,-168590.72,173765.72,14.924813123886645
floors,0.4,0.4,0.0,0.0,2.0,2.0,0.0,0.0
waterfront,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
view,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
condition,0.5,0.5,0.0,0.0,3.0,3.0,0.0,0.0
grade,0.6666667,0.5833333,0.08333337,8.333338,9.0,7.9999995,1.0000005,8.333337306975624
sqft_above,0.33488914,0.29877222,0.036116928,3.611693,3160.0,2850.478,309.52197,3.6116916295945147
sqft_basement,0.0,-0.055797555,0.055797555,5.5797553,0.0,-268.9442,268.9442,5.579755474422976
yr_built,0.99130434,0.99130434,0.0,0.0,2014.0001,2014.0001,0.0,0.0
yr_renovated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lat,0.96344817,0.96344817,0.0,0.0,47.755,47.755,0.0,0.0
long,0.25166112,0.25166112,0.0,0.0,-122.216,-122.216,0.0,0.0
sqft_living15,0.2927207,0.2946787,0.0019579828,0.19579828,2100.0,2111.378,11.37793,0.19579985695233176
sqft_lot15,0.009993694,-0.002646787,0.012640481,1.2640481,9351.0,-1653.1578,11004.158,1.2640481125272673
