feature,orig_norm,cf_norm,abs_delta_norm,pct_of_range,orig_denorm,cf_denorm,abs_delta_denorm,pct_of_range_denorm
bedrooms,0.18181819,0.19560766,0.013789475,1.3789475,6.0,6.455053,0.45505285,1.3789480382745498
bathrooms,0.21875,0.19912353,0.019626468,1.9626468,1.75,1.5929883,0.15701175,1.9626468420026233
sqft_living,0.20918368,0.21016374,0.0009800643,0.09800643,2750.0,2761.5256,11.525635,0.09800709834715134
sqft_lot,0.007767072,-0.01148187,0.019248942,1.9248942,9563.0,-12848.042,22411.043,1.924894223245559
floors,0.4,0.40039134,0.0003913343,0.03913343,2.0,2.0009782,0.0009782314,0.03912925720213278
waterfront,0.0,0.016981889,0.016981889,1.6981889,0.0,0.016981889,0.016981889,1.698188856242389
view,0.0,0.034156278,0.034156278,3.4156277,0.0,0.13662511,0.13662511,3.4156277775755925
condition,0.75,0.763692,0.013692021,1.3692021,4.0,4.054768,0.054768085,1.369202136993066
grade,0.5833333,0.5838091,0.00047576427,0.047576427,7.9999995,8.005709,0.0057091713,0.047576427459712835
sqft_above,0.28704783,0.24351346,0.04353437,4.353437,2750.0,2376.9104,373.0896,4.35343756837077
sqft_basement,0.0,-0.016251436,0.016251436,1.6251435,0.0,-78.33192,78.33192,1.6251435022631124
yr_built,0.6347826,0.65186346,0.017080843,1.7080843,1972.9999,1974.9644,1.9644775,1.7082413383152024
yr_renovated,0.0,0.0050597433,0.0050597433,0.50597435,0.0,10.195383,10.195383,0.5059743459999707
lat,0.77227885,0.77242637,0.0001475215,0.01475215,47.6368,47.63689,9.1552734e-05,0.01480717036630313
long,0.35049835,0.3501609,0.0003374517,0.03374517,-122.097,-122.097404,0.0004043579,0.03358454403288302
sqft_living15,0.28239545,0.3143091,0.031913638,3.1913638,2040.0,2225.4502,185.4502,3.191364572577869
sqft_lot15,0.010237218,0.28190082,0.2716636,27.16636,9562.999,246059.47,236496.47,27.16635924571736
