feature,orig_norm,cf_norm,abs_delta_norm,pct_of_range,orig_denorm,cf_denorm,abs_delta_denorm,pct_of_range_denorm
bedrooms,0.5,0.25,0.25,25.0,4.0,2.0,2.0,24.999999999996874
bathrooms,0.21875,0.25,0.03125,3.125,1.75,2.0,0.25,3.124999999999609
sqft_living,0.13690476,0.20547393,0.06856917,6.856917,1899.9999,2706.3733,806.3734,6.8569167779416444
sqft_lot,0.0066393306,0.13892348,0.13228415,13.228415,8250.0,162265.0,154015.0,13.228415304301222
floors,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
waterfront,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
view,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
condition,0.75,0.75,0.0,0.0,4.0,4.0,0.0,0.0
grade,0.5,0.9166667,0.4166667,41.666668,7.0,12.0,5.0,41.6666666666632
sqft_above,0.07701284,0.122195914,0.045183077,4.5183077,950.0,1337.219,387.219,4.518307982971119
sqft_basement,0.19709544,0.18805218,0.009043261,0.90432614,950.0,906.4115,43.5885,0.9043257464017114
yr_built,0.47826087,0.47826087,0.0,0.0,1955.0,1955.0,0.0,0.0
yr_renovated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lat,0.67475337,0.67475337,0.0,0.0,47.5765,47.5765,0.0,0.0
long,0.3089701,0.3089701,0.0,0.0,-122.147,-122.147,0.0,0.0
sqft_living15,0.1860265,0.18742645,0.0013999492,0.13999492,1479.9999,1488.1351,8.135254,0.13999748591034242
sqft_lot15,0.008855332,-0.022508293,0.031363625,3.1363626,8360.0,-18943.572,27303.572,3.13636248684738
