feature,orig_norm,cf_norm,abs_delta_norm,pct_of_range,orig_denorm,cf_denorm,abs_delta_denorm,pct_of_range_denorm
bedrooms,0.121212125,0.11910981,0.0021023154,0.21023154,4.0,3.9306238,0.06937623,0.21023100072686685
bathrooms,0.3125,0.29059777,0.021902233,2.1902232,2.5,2.3247821,0.17521787,2.190223336219514
sqft_living,0.17006803,0.057855368,0.11221266,11.221266,2290.0,970.37915,1319.6208,11.221265727970874
sqft_lot,0.00990059,-0.02867786,0.03857845,3.857845,12047.0,-32868.887,44915.887,3.8578450363703047
floors,0.4,0.39820454,0.0017954707,0.17954707,2.0,1.9955113,0.0044887066,0.17954826354973286
waterfront,0.0,-0.045645636,0.045645636,4.5645638,0.0,-0.045645636,0.045645636,4.564563557501042
view,0.0,-0.039634205,0.039634205,3.9634206,0.0,-0.15853682,0.15853682,3.963420540093385
condition,0.75,0.66472375,0.085276246,8.527624,4.0,3.658895,0.34110498,8.52762460708405
grade,0.6666667,0.49592888,0.1707378,17.07378,9.0,6.951146,2.0488539,17.073782285053102
sqft_above,0.23337223,0.12631862,0.10705361,10.70536,2290.0,1372.5505,917.44946,10.705361293939612
sqft_basement,0.0,-0.33895883,0.33895883,33.89588,0.0,-1633.7816,1633.7816,33.89588415375388
yr_built,0.76521736,0.57928675,0.18593061,18.593061,1988.0,1966.618,21.381958,18.593006963315055
yr_renovated,0.0,-0.010125648,0.010125648,1.0125648,0.0,-20.403181,20.403181,1.012564817669965
lat,0.6479055,0.648092,0.00018644333,0.018644333,47.5599,47.560017,0.000118255615,0.01912592838980821
long,0.34385383,0.34407568,0.00022184849,0.022184849,-122.105,-122.10474,0.0002670288,0.022178472474545387
sqft_living15,0.46997073,0.50018895,0.030218214,3.0218215,3129.9998,3305.598,175.59814,3.0218231721089306
sqft_lot15,0.017247736,-0.036001977,0.053249713,5.324971,15665.999,-30690.484,46356.484,5.32497129684831
