feature,orig_norm,cf_norm,abs_delta_norm,pct_of_range,orig_denorm,cf_denorm,abs_delta_denorm,pct_of_range_denorm
bedrooms,0.15151516,0.46836153,0.31684637,31.684637,5.0,15.455931,10.455931,31.68463851466227
bathrooms,0.4375,0.4444227,0.006922692,0.6922692,3.5,3.5553815,0.055381536,0.6922692060469715
sqft_living,0.24404761,0.08150852,0.1625391,16.25391,3160.0,1248.5402,1911.4598,16.25391019444887
sqft_lot,0.0039982,-0.035910603,0.039908804,3.9908805,5175.0,-41289.78,46464.78,3.9908802610038534
floors,0.4,0.4004206,0.00042060018,0.042060018,2.0,2.0010514,0.0010514259,0.0420570373534988
waterfront,0.0,0.00028025638,0.00028025638,0.028025638,0.0,0.00028025638,0.00028025638,0.028025638312073338
view,0.0,-0.026068542,0.026068542,2.6068542,0.0,-0.10427417,0.10427417,2.6068542152636685
condition,0.5,0.38542846,0.11457154,11.457154,3.0,2.5417137,0.4582863,11.457157135006902
grade,0.6666667,0.4986025,0.16806418,16.806417,9.0,6.9832296,2.0167704,16.80641969044863
sqft_above,0.33488914,0.18540354,0.1494856,14.948561,3160.0,1878.9083,1281.0917,14.948560966215721
sqft_basement,0.0,-0.3013781,0.3013781,30.13781,0.0,-1452.6425,1452.6425,30.137810291591023
yr_built,0.99130434,0.9143791,0.07692522,7.692522,2014.0001,2005.1537,8.846436,7.692552649456455
yr_renovated,0.0,-0.007256521,0.007256521,0.7256521,0.0,-14.62189,14.62189,0.7256521125585207
lat,0.96344817,0.96344817,0.0,0.0,47.755,47.755,0.0,0.0
long,0.25166112,0.25166112,0.0,0.0,-122.216,-122.216,0.0,0.0
sqft_living15,0.2927207,0.1485979,0.14412281,14.412281,2100.0,1262.5024,837.49756,14.41227944577095
sqft_lot15,0.009993694,-0.12879555,0.13878924,13.878923,9351.0,-111471.84,120822.84,13.878925109327561
